config,case_id,case_name,expected,actual,correct,provider,confidence,is_novel,is_healthy,pattern_hint
config_B,001,VM Stopped by User,diagnose,diagnose,True,Groq,1.0,False,False,exact
config_B,002,NSG Blocks RDP,diagnose,diagnose,True,Groq,1.0,False,False,exact
config_B,003,NSG Blocks SSH,diagnose,diagnose,True,Groq,1.0,False,False,exact
config_B,004,High CPU Saturation,diagnose,diagnose,True,Groq,1.0,False,False,exact
config_B,005,OS Disk Full,diagnose,diagnose,True,Groq,1.0,False,False,exact
config_B,006,Memory Exhaustion,diagnose,diagnose,True,Groq,1.0,False,False,exact
config_B,007,Boot BSOD,diagnose,diagnose,True,Groq,0.7,False,False,exact
config_B,008,Boot Kernel Panic,diagnose,diagnose,True,Groq,0.7,False,False,exact
config_B,009,VM Running No Heartbeat,diagnose_low_confidence,diagnose,False,Groq,0.85,False,False,exact
config_B,010,Resource Health Unavailable,diagnose_low_confidence,diagnose,False,Groq,0.7,False,False,exact
config_B,011,Conflicting NSG Signals,diagnose_low_confidence,diagnose,False,Groq,1.0,False,False,exact
config_B,012,App Unhealthy VM Healthy,diagnose,diagnose,True,Groq,1.0,False,False,exact
config_B,013,Disk IO Saturation,diagnose,diagnose,True,Groq,1.0,False,False,exact
config_B,014,VM Deallocated,diagnose,diagnose,True,Groq,1.0,False,False,exact
config_B,015,Provisioning Failed,diagnose_low_confidence,diagnose,False,Groq,1.0,False,False,exact
config_B,016,Failed State Insufficient Data,abstain_request_next_check,abstain_request_next_check,True,Groq,0.6,False,False,exact
config_B,017,Platform Degradation,abstain_request_next_check,abstain_request_next_check,True,Groq,1.0,False,False,exact
config_B,018,Boot Stuck,diagnose,diagnose,True,Groq,0.7,False,False,exact
config_B,019,VM Agent Failed,diagnose_low_confidence,diagnose,False,Groq,1.0,False,False,exact
config_B,020,Monitor Agent Failed,diagnose_low_confidence,diagnose,False,Groq,1.0,False,False,exact
config_B,021,Healthy VM - All Green,diagnose,diagnose,True,Groq,0.7,False,True,none
config_B,022,Healthy VM - Low Load,diagnose,diagnose,True,Groq,0.7,False,True,none
